                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     83,                 0.8737,                0.63373,                 1.0923,                 0.8958,                0.80105,                0.89331,                0.65064,                0.99113,                0.78347,                 1.1617,              0.0003764,              0.0003764,              0.0003764
                     84,                0.84333,                0.60511,                 1.0715,                0.85862,                0.78526,                0.87932,                0.63814,                0.99274,                0.84049,                 1.1819,              0.0003566,              0.0003566,              0.0003566
                     85,                0.84106,                0.59046,                 1.0687,                0.90374,                0.77684,                0.88476,                 0.6376,                 1.0013,                0.80042,                   1.19,              0.0003368,              0.0003368,              0.0003368
                     86,                0.84394,                0.60569,                 1.0761,                0.87009,                0.78211,                0.88178,                0.63254,                 1.0233,                0.80882,                 1.2079,               0.000317,               0.000317,               0.000317
                     87,                0.84726,                0.59928,                 1.0757,                0.92077,                0.80632,                0.89445,                0.64143,                 1.0116,                0.78419,                 1.2127,              0.0002972,              0.0002972,              0.0002972
                     88,                   0.83,                0.58517,                 1.0716,                0.91337,                0.79474,                0.89079,                 0.6396,                0.98577,                0.79591,                 1.1847,              0.0002774,              0.0002774,              0.0002774
                     89,                0.82182,                0.58587,                 1.0597,                0.86022,                0.77789,                0.86133,                0.61388,                 1.0193,                0.91944,                 1.2062,              0.0002576,              0.0002576,              0.0002576
                     90,                0.83932,                0.61325,                 1.0731,                0.86668,                0.77328,                0.86156,                0.63417,                0.98286,                 0.8593,                 1.1796,              0.0002378,              0.0002378,              0.0002378
                     91,                 0.7495,                0.48965,                 1.0131,                0.88435,                0.75789,                0.86323,                0.62956,                0.99967,                0.83715,                  1.202,               0.000218,               0.000218,               0.000218
                     92,                0.73122,                0.45387,                 1.0076,                0.84009,                0.77422,                0.86271,                 0.6218,                 0.9996,                0.90395,                 1.2041,              0.0001982,              0.0001982,              0.0001982
                     93,                0.72288,                0.44373,                0.99106,                0.85944,                0.79263,                0.87288,                0.63549,                0.99095,                0.84501,                 1.1869,              0.0001784,              0.0001784,              0.0001784
                     94,                0.73256,                0.44893,                0.99607,                0.86098,                0.78227,                0.87307,                 0.6354,                0.99111,                0.88187,                 1.1921,              0.0001586,              0.0001586,              0.0001586
                     95,                0.72725,                0.44276,                0.99883,                0.86537,                0.77263,                0.86993,                0.63491,                0.99054,                 0.8843,                 1.1844,              0.0001388,              0.0001388,              0.0001388
                     96,                0.72016,                0.44588,                0.99056,                0.86993,                0.77442,                0.86559,                0.63012,                 1.0034,                0.88667,                 1.2144,               0.000119,               0.000119,               0.000119
                     97,                0.72624,                0.43517,                0.99653,                0.87279,                0.78719,                0.88191,                0.63598,                 1.0003,                0.83907,                 1.2055,               9.92e-05,               9.92e-05,               9.92e-05
                     98,                0.71089,                0.43206,                 0.9895,                0.86733,                0.80516,                0.87891,                0.63906,                 1.0014,                0.82766,                 1.2111,               7.94e-05,               7.94e-05,               7.94e-05
                     99,                 0.6978,                0.42875,                0.98737,                0.87509,                0.80842,                0.88338,                0.64085,                0.99691,                0.82297,                 1.2058,               5.96e-05,               5.96e-05,               5.96e-05
                    100,                0.70482,                0.42664,                0.98307,                0.88154,                0.79898,                0.88236,                0.64063,                0.99819,                0.82566,                 1.2119,               3.98e-05,               3.98e-05,               3.98e-05
